Year,Reporting Period,Eligibility Group,Number of Enrollees
2019,2019-01,CHIP,"1,311,217"
2019,2019-01,Non-CMSPI,"970,867"
2019,2019-02,MAGI-Child,"2,417,852"
2019,2019-02,MAGI-Adult,"4,720,088"
2019,2019-02,Non-MAGI-Child,"1,234,325"
2019,2019-02,Non-MAGI-Adult,"2,201,244"
2019,2019-02,CHIP,"1,310,759"
2019,2019-02,Non-CMSPI,"971,083"
2019,2019-03,MAGI-Child,"2,422,550"
2019,2019-03,MAGI-Adult,"4,723,692"
2019,2019-03,Non-MAGI-Child,"1,220,914"
2019,2019-03,Non-MAGI-Adult,"2,193,551"
2019,2019-03,CHIP,"1,313,436"
2019,2019-03,Non-CMSPI,"970,996"
2019,2019-04,MAGI-Child,"2,419,469"
2019,2019-04,MAGI-Adult,"4,708,741"
2019,2019-04,Non-MAGI-Child,"1,203,393"
2019,2019-04,Non-MAGI-Adult,"2,178,325"
2019,2019-04,CHIP,"1,314,445"
2019,2019-04,Non-CMSPI,"968,528"
2019,2019-05,MAGI-Child,"2,417,177"
2019,2019-05,MAGI-Adult,"4,693,222"
2019,2019-05,Non-MAGI-Child,"1,198,900"
2019,2019-05,Non-MAGI-Adult,"2,179,585"
2019,2019-05,CHIP,"1,309,770"
2019,2019-05,Non-CMSPI,"967,038"
2019,2019-06,MAGI-Child,"2,401,008"
2019,2019-06,MAGI-Adult,"4,671,220"
2019,2019-06,Non-MAGI-Child,"1,192,960"
2019,2019-06,Non-MAGI-Adult,"2,176,413"
2019,2019-06,CHIP,"1,302,406"
2019,2019-06,Non-CMSPI,"960,442"
2019,2019-07,MAGI-Child,"2,401,360"
2019,2019-07,MAGI-Adult,"4,670,799"
2019,2019-07,Non-MAGI-Child,"1,191,065"
2019,2019-07,Non-MAGI-Adult,"2,176,615"
2019,2019-07,CHIP,"1,303,661"
2019,2019-07,Non-CMSPI,"960,174"
2019,2019-08,MAGI-Child,"2,401,392"
2019,2019-08,MAGI-Adult,"4,666,242"
2019,2019-08,Non-MAGI-Child,"1,199,306"
2019,2019-08,Non-MAGI-Adult,"2,177,901"
2019,2019-08,CHIP,"1,307,840"
2019,2019-08,Non-CMSPI,"958,560"
2019,2019-09,MAGI-Child,"2,393,906"
2019,2019-09,MAGI-Adult,"4,654,012"
2019,2019-09,Non-MAGI-Child,"1,191,141"
2019,2019-09,Non-MAGI-Adult,"2,180,763"
2019,2019-09,CHIP,"1,308,209"
2019,2019-09,Non-CMSPI,"954,501"
2019,2019-10,MAGI-Child,"2,542,698"
2019,2019-10,MAGI-Adult,"4,733,005"
2019,2019-10,Non-MAGI-Child,"1,016,394"
2019,2019-10,Non-MAGI-Adult,"2,090,000"
2019,2019-10,CHIP,"1,315,429"
2019,2019-10,Non-CMSPI,"948,888"
2019,2019-11,MAGI-Child,"2,512,675"
2019,2019-11,MAGI-Adult,"4,694,345"
2019,2019-11,Non-MAGI-Child,"1,016,410"
2019,2019-11,Non-MAGI-Adult,"2,085,884"
2019,2019-11,CHIP,"1,313,350"
2019,2019-11,Non-CMSPI,"935,902"
2019,2019-12,MAGI-Child,"2,495,446"
2019,2019-12,MAGI-Adult,"4,677,323"
2019,2019-12,Non-MAGI-Child,"1,016,136"
2019,2019-12,Non-MAGI-Adult,"2,086,290"
2019,2019-12,CHIP,"1,313,128"
2019,2019-12,Non-CMSPI,"926,579"
2020,2020-01,MAGI-Child,"2,485,027"
2020,2020-01,MAGI-Adult,"4,713,873"
2020,2020-01,Non-MAGI-Child,"1,016,597"
2020,2020-01,Non-MAGI-Adult,"2,085,083"
2020,2020-01,CHIP,"1,314,322"
2020,2020-01,Non-CMSPI,"860,268"
2020,2020-02,MAGI-Child,"2,474,799"
2020,2020-02,MAGI-Adult,"4,697,858"
2020,2020-02,Non-MAGI-Child,"1,016,074"
2020,2020-02,Non-MAGI-Adult,"2,086,128"
2020,2020-02,CHIP,"1,315,742"
2020,2020-02,Non-CMSPI,"854,668"
2020,2020-03,MAGI-Child,"2,465,453"
2020,2020-03,MAGI-Adult,"4,695,745"
2020,2020-03,Non-MAGI-Child,"1,014,332"
2020,2020-03,Non-MAGI-Adult,"2,087,655"
2020,2020-03,CHIP,"1,313,692"
2020,2020-03,Non-CMSPI,"847,788"
2020,2020-04,MAGI-Child,"2,458,109"
2020,2020-04,MAGI-Adult,"4,741,995"
2020,2020-04,Non-MAGI-Child,"1,026,459"
2020,2020-04,Non-MAGI-Adult,"2,092,405"
2020,2020-04,CHIP,"1,303,740"
2020,2020-04,Non-CMSPI,"847,672"
2020,2020-05,MAGI-Child,"2,486,845"
2020,2020-05,MAGI-Adult,"4,822,463"
2020,2020-05,Non-MAGI-Child,"1,037,042"
2020,2020-05,Non-MAGI-Adult,"2,101,673"
2020,2020-05,CHIP,"1,292,104"
2020,2020-05,Non-CMSPI,"858,315"
2020,2020-06,MAGI-Child,"2,521,429"
2020,2020-06,MAGI-Adult,"4,891,653"
2020,2020-06,Non-MAGI-Child,"1,037,742"
2020,2020-06,Non-MAGI-Adult,"2,110,207"
2020,2020-06,CHIP,"1,286,680"
2020,2020-06,Non-CMSPI,"873,206"
2020,2020-07,MAGI-Child,"2,582,587"
2020,2020-07,MAGI-Adult,"5,003,706"
2020,2020-07,Non-MAGI-Child,"1,022,989"
2020,2020-07,Non-MAGI-Adult,"2,116,215"
2020,2020-07,CHIP,"1,290,559"
2020,2020-07,Non-CMSPI,"899,132"
2020,2020-08,MAGI-Child,"2,624,358"
2020,2020-08,MAGI-Adult,"5,075,306"
2020,2020-08,Non-MAGI-Child,"1,008,954"
2020,2020-08,Non-MAGI-Adult,"2,117,817"
2020,2020-08,CHIP,"1,290,420"
2020,2020-08,Non-CMSPI,"913,570"
2020,2020-09,MAGI-Child,"2,657,548"
2020,2020-09,MAGI-Adult,"5,148,842"
2020,2020-09,Non-MAGI-Child,"995,388"
2020,2020-09,Non-MAGI-Adult,"2,120,496"
2020,2020-09,CHIP,"1,290,325"
2020,2020-09,Non-CMSPI,"928,845"
2020,2020-10,MAGI-Child,"2,691,623"
2020,2020-10,MAGI-Adult,"5,217,484"
2020,2020-10,Non-MAGI-Child,"975,975"
2020,2020-10,Non-MAGI-Adult,"2,121,521"
2020,2020-10,CHIP,"1,291,535"
2020,2020-10,Non-CMSPI,"942,598"
2020,2020-11,MAGI-Child,"2,716,642"
2020,2020-11,MAGI-Adult,"5,274,715"
2020,2020-11,Non-MAGI-Child,"957,209"
2020,2020-11,Non-MAGI-Adult,"2,117,800"
2020,2020-11,CHIP,"1,292,683"
2020,2020-11,Non-CMSPI,"957,520"
2020,2020-12,MAGI-Child,"2,743,960"
2020,2020-12,MAGI-Adult,"5,356,294"
2020,2020-12,Non-MAGI-Child,"943,184"
2020,2020-12,Non-MAGI-Adult,"2,153,115"
2020,2020-12,CHIP,"1,294,596"
2020,2020-12,Non-CMSPI,"987,702"
2021,2021-01,MAGI-Child,"2,761,916"
2021,2021-01,MAGI-Adult,"5,434,897"
2021,2021-01,Non-MAGI-Child,"940,018"
2021,2021-01,Non-MAGI-Adult,"2,153,106"
2021,2021-01,CHIP,"1,297,062"
2021,2021-01,Non-CMSPI,"1,015,193"
2021,2021-02,MAGI-Child,"2,778,803"
2021,2021-02,MAGI-Adult,"5,484,425"
2021,2021-02,Non-MAGI-Child,"936,100"
2021,2021-02,Non-MAGI-Adult,"2,147,602"
2021,2021-02,CHIP,"1,296,194"
2021,2021-02,Non-CMSPI,"1,033,109"
2021,2021-03,MAGI-Child,"2,804,853"
2021,2021-03,MAGI-Adult,"5,543,801"
2021,2021-03,Non-MAGI-Child,"929,876"
2021,2021-03,Non-MAGI-Adult,"2,149,919"
2021,2021-03,CHIP,"1,296,129"
2021,2021-03,Non-CMSPI,"1,066,923"
2021,2021-04,MAGI-Child,"2,821,211"
2021,2021-04,MAGI-Adult,"5,597,602"
2021,2021-04,Non-MAGI-Child,"923,737"
2021,2021-04,Non-MAGI-Adult,"2,150,957"
2021,2021-04,CHIP,"1,297,297"
2021,2021-04,Non-CMSPI,"1,096,914"
2021,2021-05,MAGI-Child,"2,834,007"
2021,2021-05,MAGI-Adult,"5,643,730"
2021,2021-05,Non-MAGI-Child,"920,550"
2021,2021-05,Non-MAGI-Adult,"2,154,281"
2021,2021-05,CHIP,"1,297,661"
2021,2021-05,Non-CMSPI,"1,111,933"
2021,2021-06,MAGI-Child,"2,850,402"
2021,2021-06,MAGI-Adult,"5,688,414"
2021,2021-06,Non-MAGI-Child,"916,889"
2021,2021-06,Non-MAGI-Adult,"2,159,065"
2021,2021-06,CHIP,"1,298,671"
